"","town","townUK","latuk","lonuk","lat","lon","geom"
"914","LaGrange, Georgia","Craigavon",54.4472,-6.3883,33.0367,-85.0319,"LINESTRING (-6.3883 54.4472, -85.0319 33.0367)"
"915","Lahnau","Wincanton",51.0559,-2.4102,50.5667,8.5667,"LINESTRING (-2.4102 51.0559, 8.5667 50.5667)"
"916","Lahnstein","Kettering",52.3931,-0.7229,50.3011,7.6056,"LINESTRING (-0.7229 52.3931, 7.6056 50.3011)"
"917","Laholm","Amber Valley",53,-1.4,56.5167,13.0333,"LINESTRING (-1.4 53, 13.0333 56.5167)"
"918","Lahore","London Borough of Hounslow",51.4675,-0.3617,31.5497,74.3436,"LINESTRING (-0.3617 51.4675, 74.3436 31.5497)"
"919","Lake County, Illinois","Warrington",53.3917,-2.5972,42.43,-87.78,"LINESTRING (-2.5972 53.3917, -87.78 42.43)"
"920","La Loupe","Royston, Hertfordshire",52.0471,-0.0202,48.4725,1.0158,"LINESTRING (-0.0202 52.0471, 1.0158 48.4725)"
"921","Lambersart","Southborough, Kent",51.1598,0.2652,50.65,3.025,"LINESTRING (0.2652 51.1598, 3.025 50.65)"
"922","La Milesse","Swineshead, Lincolnshire",52.9413,-0.156,48.0653,0.1364,"LINESTRING (-0.156 52.9413, 0.1364 48.0653)"
"923","Landerneau","Caernarfon",53.14,-4.27,48.4517,-4.2481,"LINESTRING (-4.27 53.14, -4.2481 48.4517)"
"924","Landévennec","The Lizard",50.0333,-5.1833,48.2922,-4.2647,"LINESTRING (-5.1833 50.0333, -4.2647 48.2922)"
"925","Landivisiau","Bideford",51.016,-4.209,48.51,-4.0669,"LINESTRING (-4.209 51.016, -4.0669 48.51)"
"926","Landsberg am Lech","Oldham",53.5444,-2.1169,48.0478,10.8989,"LINESTRING (-2.1169 53.5444, 10.8989 48.0478)"
"927","Landunvez","Bradninch",50.8333,-3.4167,48.5333,-4.7256,"LINESTRING (-3.4167 50.8333, -4.7256 48.5333)"
"928","Langenhagen","London Borough of Southwark",51.45,-0.0833,52.4394,9.74,"LINESTRING (-0.0833 51.45, 9.74 52.4394)"
"929","Langen, Hesse","Long Eaton",52.899,-1.271,49.9833,8.6667,"LINESTRING (-1.271 52.899, 8.6667 49.9833)"
"930","Langenlonsheim","Potton",52.1271,-0.2152,49.8947,7.8981,"LINESTRING (-0.2152 52.1271, 7.8981 49.8947)"
